audio,contain speech,female speak,male speak,female transcript,male transcript,annotate,useful annotates,female chunk number,aligned female chunk number,female align percentage,male chunk number,aligned male chunk number,male align percentage,Arousal,Valence,Arousal_binary,Valence_binary,check annotation,check female transcript,check male transcript,check date,romantic interaction,romantic interaction & both speak
P_006\Day_6\Hour_11\12-21-2019 11_44_01,yes,yes,yes,1,1,1,33,12,8,0.666666667,10,8,0.8,-1,-1,-1,-1,1,1,1,1,1,1
P_006\Day_6\Hour_12\12-21-2019 12_44_01,no,no,no,0,0,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_006\Day_6\Hour_13\12-21-2019 13_44_01,yes,yes,no,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_006\Day_6\Hour_14\12-21-2019 14_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_006\Day_6\Hour_7\12-21-2019 07_00_33,yes,yes,yes,1,1,1,36,10,10,1,7,6,0.857142857,60,52,1,1,1,1,1,1,1,1
P_006\Day_6\Hour_8\12-21-2019 08_44_00,yes,yes,yes,1,1,1,29,8,8,1,12,10,0.833333333,-1,-1,-1,-1,1,1,1,1,0,-1
P_006\Day_6\Hour_9\12-21-2019 09_44_00,yes,yes,yes,1,1,1,34,14,12,0.857142857,12,11,0.916666667,-1,-1,-1,-1,1,1,1,1,1,1
P_007\Day_0\Hour_10\02-16-2020 10_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_0\Hour_11\02-16-2020 11_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_0\Hour_12\02-16-2020 12_44_00,yes,yes,no,1,0,1,1,3,1,0.333333333,-1,-1,-1,100,100,1,1,1,1,1,1,1,0
P_007\Day_0\Hour_13\02-16-2020 13_11_00,yes,yes,yes,1,1,1,30,13,13,1,12,9,0.75,100,100,1,1,1,1,1,1,1,1
P_007\Day_0\Hour_14\02-16-2020 14_02_38,yes,yes,yes,1,1,1,9,4,4,1,2,2,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_0\Hour_15\02-16-2020 15_03_14,yes,yes,yes,1,1,1,19,8,7,0.875,4,3,0.75,100,100,1,1,1,1,1,1,1,1
P_007\Day_0\Hour_16\02-16-2020 16_02_42,yes,yes,yes,1,1,1,13,9,8,0.888888889,6,3,0.5,100,100,1,1,1,1,1,1,1,1
P_007\Day_0\Hour_17\02-16-2020 17_35_39,yes,yes,yes,1,1,1,19,15,10,0.666666667,4,3,0.75,100,100,1,1,1,1,1,1,0,-1
P_007\Day_0\Hour_18\02-16-2020 18_11_33,yes,yes,yes,1,1,1,14,5,4,0.8,10,3,0.3,100,100,1,1,1,1,1,1,0,-1
P_007\Day_0\Hour_22\02-16-2020 22_15_40,yes,yes,yes,1,1,1,6,4,4,1,3,2,0.666666667,100,100,1,1,1,1,1,1,1,1
P_007\Day_0\Hour_9\02-16-2020 09_44_00,yes,yes,yes,1,1,1,12,9,7,0.777777778,7,3,0.428571429,100,100,1,1,1,1,1,1,1,1
P_007\Day_1\Hour_10\02-10-2020 10_36_29,yes,yes,yes,1,1,1,20,9,7,0.777777778,7,7,1,-1,-1,-1,-1,1,1,1,1,1,1
P_007\Day_1\Hour_19\02-10-2020 19_44_19,yes,yes,no,1,0,1,2,3,2,0.666666667,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_1\Hour_20\02-10-2020 20_44_19,yes,yes,no,1,0,1,5,5,4,0.8,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_1\Hour_21\02-10-2020 21_44_20,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_1\Hour_22\02-10-2020 22_21_15,yes,yes,yes,1,1,1,16,9,9,1,6,5,0.833333333,100,100,1,1,1,1,1,1,1,1
P_007\Day_1\Hour_6\02-10-2020 06_44_17,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_1\Hour_7\02-10-2020 07_44_17,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_1\Hour_8\02-10-2020 08_44_18,yes,yes,yes,1,1,1,4,2,1,0.5,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1
P_007\Day_1\Hour_9\02-10-2020 09_07_52,yes,yes,yes,1,1,1,6,5,3,0.6,3,2,0.666666667,50,9,0,0,1,1,1,1,1,1
P_007\Day_2\Hour_10\02-11-2020 10_02_48,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_2\Hour_19\02-11-2020 19_08_01,yes,yes,yes,1,1,1,24,10,9,0.9,6,6,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_2\Hour_20\02-11-2020 20_05_46,yes,yes,yes,1,1,1,15,9,9,1,1,1,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_2\Hour_21\02-11-2020 21_35_16,yes,yes,yes,1,1,1,4,3,3,1,1,1,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_2\Hour_22\02-11-2020 22_44_23,yes,yes,yes,1,1,1,6,4,4,1,2,2,1,-1,-1,-1,-1,1,1,1,1,1,1
P_007\Day_2\Hour_6\02-11-2020 06_44_21,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_2\Hour_7\02-11-2020 07_44_21,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_2\Hour_8\02-11-2020 08_44_21,yes,yes,no,1,0,1,3,2,2,1,-1,-1,-1,100,100,1,1,1,1,1,1,1,0
P_007\Day_2\Hour_9\02-11-2020 09_10_04,yes,yes,yes,1,1,1,23,9,8,0.888888889,7,6,0.857142857,100,100,1,1,1,1,1,1,1,1
P_007\Day_3\Hour_19\02-12-2020 19_06_30,yes,yes,yes,1,1,1,22,6,6,1,5,4,0.8,100,100,1,1,1,1,1,1,1,1
P_007\Day_3\Hour_20\02-12-2020 20_00_33,yes,yes,yes,1,1,1,37,13,12,0.923076923,8,6,0.75,100,100,1,1,1,1,1,1,1,1
P_007\Day_3\Hour_21\02-12-2020 21_06_36,yes,yes,yes,1,1,1,15,7,7,1,2,2,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_3\Hour_22\02-12-2020 22_01_28,yes,yes,yes,1,1,1,6,3,3,1,2,1,0.5,0,100,0,1,1,1,1,1,1,1
P_007\Day_4\Hour_10\02-13-2020 10_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_4\Hour_19\02-13-2020 19_44_00,yes,yes,no,1,0,1,25,14,12,0.857142857,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_4\Hour_20\02-13-2020 20_44_00,yes,yes,no,1,0,1,18,16,13,0.8125,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_4\Hour_21\02-13-2020 21_44_00,yes,yes,no,1,0,1,12,13,9,0.692307692,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_4\Hour_22\02-13-2020 22_44_00,yes,yes,yes,1,1,1,2,14,1,0.071428571,8,0,0,0,100,0,1,1,1,1,1,1,1
P_007\Day_4\Hour_6\02-13-2020 06_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_4\Hour_7\02-13-2020 07_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_4\Hour_8\02-13-2020 08_44_00,yes,yes,yes,1,1,1,15,9,9,1,6,3,0.5,0,100,0,1,1,1,1,1,1,1
P_007\Day_4\Hour_9\02-13-2020 09_44_00,yes,yes,yes,1,1,1,11,4,4,1,4,4,1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_5\Hour_10\02-14-2020 10_44_00,yes,yes,yes,1,1,1,22,10,10,1,9,9,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_5\Hour_19\02-14-2020 19_44_00,yes,yes,no,1,0,1,0,1,0,0,-1,-1,-1,100,100,1,1,1,1,1,1,1,0
P_007\Day_5\Hour_20\02-14-2020 20_44_00,yes,yes,yes,1,1,1,4,2,1,0.5,1,1,1,0,100,0,1,1,1,1,1,1,1
P_007\Day_5\Hour_21\02-14-2020 21_44_00,yes,yes,yes,1,1,1,9,5,5,1,2,1,0.5,0,100,0,1,1,1,1,1,1,1
P_007\Day_5\Hour_22\02-14-2020 22_44_00,yes,yes,yes,1,1,1,2,1,1,1,1,1,1,0,100,0,1,1,1,1,1,1,1
P_007\Day_5\Hour_6\02-14-2020 06_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_5\Hour_7\02-14-2020 07_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_007\Day_5\Hour_8\02-14-2020 08_44_00,yes,yes,yes,1,1,1,4,2,2,1,2,2,1,0,100,0,1,1,1,1,1,1,1
P_007\Day_5\Hour_9\02-14-2020 09_44_00,yes,yes,yes,1,1,1,4,1,1,1,1,1,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_10\02-15-2020 10_44_00,yes,yes,yes,1,1,1,11,3,3,1,2,2,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_11\02-15-2020 11_44_00,yes,yes,yes,1,1,1,12,7,7,1,2,2,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_12\02-15-2020 12_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_6\Hour_13\02-15-2020 13_44_00,yes,yes,yes,1,1,1,0,8,0,0,5,0,0,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_14\02-15-2020 14_44_00,no,no,no,0,0,1,28,-1,-1,-1,-1,-1,-1,0,50,0,0,1,1,1,1,0,-1
P_007\Day_6\Hour_15\02-15-2020 15_44_00,yes,yes,yes,1,1,1,33,6,1,0.166666667,7,3,0.428571429,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_16\02-15-2020 16_44_00,yes,yes,yes,1,1,1,13,5,4,0.8,6,6,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_17\02-15-2020 17_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,100,100,1,1,1,1,1,1,0,-1
P_007\Day_6\Hour_18\02-15-2020 18_44_00,yes,yes,yes,1,1,1,3,2,2,1,1,1,1,100,100,1,1,1,1,1,1,1,1
P_007\Day_6\Hour_19\02-15-2020 19_44_00,yes,yes,yes,1,1,1,7,3,3,1,2,2,1,0,100,0,1,1,1,1,1,1,1
P_007\Day_6\Hour_20\02-15-2020 20_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,0,100,0,1,1,1,1,1,0,-1
P_007\Day_6\Hour_21\02-15-2020 21_44_00,yes,yes,yes,1,1,1,17,7,6,0.857142857,7,4,0.571428571,0,100,0,1,1,1,1,1,1,1
P_007\Day_6\Hour_22\02-15-2020 22_44_00,yes,yes,yes,1,1,1,11,5,3,0.6,6,5,0.833333333,0,100,0,1,1,1,1,1,1,1
P_007\Day_6\Hour_9\02-15-2020 09_44_00,yes,yes,yes,1,1,1,3,2,1,0.5,1,1,1,0,100,0,1,1,1,1,1,1,1
P_008\Day_0\Hour_10\03-01-2020 10_44_24,yes,yes,no,1,0,1,24,20,15,0.75,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_0\Hour_11\03-01-2020 11_44_24,yes,yes,yes,1,1,1,6,5,4,0.8,4,2,0.5,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_0\Hour_12\03-01-2020 12_44_24,yes,yes,no,1,0,1,0,5,0,0,-1,-1,-1,89,97,1,1,1,1,1,1,0,-1
P_008\Day_0\Hour_13\03-01-2020 13_44_25,yes,yes,yes,1,1,1,0,6,0,0,4,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_0\Hour_19\03-01-2020 19_44_00,yes,yes,yes,1,1,1,5,3,3,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_0\Hour_20\03-01-2020 20_44_00,yes,yes,yes,1,1,1,0,7,0,0,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_0\Hour_21\03-01-2020 21_39_16,yes,yes,yes,1,1,1,0,1,0,0,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_0\Hour_22\03-01-2020 22_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_0\Hour_8\03-01-2020 08_44_23,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_0\Hour_9\03-01-2020 09_44_23,yes,yes,yes,1,1,1,15,8,8,1,2,1,0.5,81,77,1,1,1,1,1,1,1,1
P_008\Day_1\Hour_19\02-24-2020 19_19_54,yes,yes,no,1,0,1,0,10,0,0,-1,-1,-1,68,77,1,1,1,1,1,1,0,-1
P_008\Day_1\Hour_20\02-24-2020 20_44_00,yes,yes,no,1,0,1,0,20,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_1\Hour_21\02-24-2020 21_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,50,75,0,1,1,1,1,1,0,-1
P_008\Day_1\Hour_22\02-24-2020 22_44_00,yes,yes,yes,1,1,1,0,5,0,0,3,0,0,50,61,0,1,1,1,1,1,1,1
P_008\Day_1\Hour_8\02-24-2020 08_44_00,yes,yes,yes,1,1,1,11,7,6,0.857142857,2,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_2\Hour_19\02-25-2020 19_44_02,yes,yes,yes,1,1,1,2,3,1,0.333333333,1,0,0,76,67,1,1,1,1,1,1,1,1
P_008\Day_2\Hour_20\02-25-2020 20_44_02,yes,no,no,0,0,1,2,-1,-1,-1,-1,-1,-1,36,50,0,0,1,1,1,1,1,0
P_008\Day_2\Hour_21\02-25-2020 21_44_03,yes,yes,yes,1,1,1,0,7,0,0,7,0,0,26,50,0,0,1,1,1,1,1,1
P_008\Day_2\Hour_22\02-25-2020 22_44_03,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,18,69,0,1,1,1,1,1,0,-1
P_008\Day_2\Hour_8\02-25-2020 08_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_3\Hour_19\02-26-2020 19_44_06,yes,no,yes,0,1,1,0,-1,-1,-1,1,0,0,50,70,0,1,1,1,1,1,1,0
P_008\Day_3\Hour_20\02-26-2020 20_44_06,yes,yes,yes,1,1,1,0,4,0,0,2,0,0,33,50,0,0,1,1,1,1,1,1
P_008\Day_3\Hour_21\02-26-2020 21_44_06,yes,yes,yes,1,1,1,0,14,0,0,10,0,0,22,72,0,1,1,1,1,1,1,1
P_008\Day_3\Hour_22\02-26-2020 22_44_07,yes,yes,yes,1,1,1,0,2,0,0,1,0,0,27,50,0,0,1,1,1,1,1,1
P_008\Day_3\Hour_8\02-26-2020 08_44_05,yes,yes,yes,1,1,1,0,9,0,0,2,0,0,81,71,1,1,1,1,1,1,1,1
P_008\Day_4\Hour_19\02-27-2020 19_44_09,yes,yes,no,1,0,1,0,3,0,0,-1,-1,-1,83,55,1,1,1,1,1,1,0,-1
P_008\Day_4\Hour_20\02-27-2020 20_44_09,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,49,75,0,1,1,1,1,1,0,-1
P_008\Day_4\Hour_21\02-27-2020 21_44_10,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,33,50,0,0,1,1,1,1,0,-1
P_008\Day_4\Hour_22\02-27-2020 22_44_10,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,37,50,0,0,1,1,1,1,0,-1
P_008\Day_4\Hour_8\02-27-2020 08_44_08,yes,yes,no,1,0,1,0,13,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_5\Hour_19\02-28-2020 19_44_13,yes,yes,yes,1,1,1,0,4,0,0,1,0,0,39,50,0,0,1,1,1,1,1,1
P_008\Day_5\Hour_20\02-28-2020 20_44_13,yes,yes,yes,1,1,1,0,8,0,0,7,0,0,42,43,0,0,1,1,1,1,1,1
P_008\Day_5\Hour_21\02-28-2020 21_44_14,yes,yes,yes,1,1,1,0,8,0,0,1,0,0,32,65,0,1,1,1,1,1,1,1
P_008\Day_5\Hour_22\02-28-2020 22_44_14,yes,yes,yes,1,1,1,0,2,0,0,2,0,0,35,73,0,1,1,1,1,1,1,1
P_008\Day_5\Hour_8\02-28-2020 08_44_12,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_008\Day_6\Hour_10\02-29-2020 10_44_16,yes,yes,yes,1,1,1,0,2,0,0,1,0,0,76,50,1,0,1,1,1,1,1,1
P_008\Day_6\Hour_11\02-29-2020 11_44_17,yes,yes,yes,1,1,1,0,7,0,0,4,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_6\Hour_12\02-29-2020 12_44_17,yes,yes,yes,1,1,1,0,9,0,0,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_6\Hour_13\02-29-2020 13_44_17,yes,yes,no,1,0,1,0,1,0,0,-1,-1,-1,26,80,0,1,1,1,1,1,1,0
P_008\Day_6\Hour_14\02-29-2020 14_44_17,yes,yes,yes,1,1,1,0,5,0,0,5,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_008\Day_6\Hour_15\02-29-2020 15_44_18,yes,yes,yes,1,1,1,0,7,0,0,5,0,0,68,66,1,1,1,1,1,1,1,1
P_008\Day_6\Hour_16\02-29-2020 16_44_18,yes,yes,yes,1,1,1,0,8,0,0,3,0,0,38,72,0,1,1,1,1,1,1,1
P_008\Day_6\Hour_17\02-29-2020 17_44_19,yes,yes,yes,1,1,1,0,11,0,0,7,0,0,31,71,0,1,1,1,1,1,1,1
P_008\Day_6\Hour_18\02-29-2020 18_44_20,yes,yes,yes,1,1,1,0,9,0,0,6,0,0,69,63,1,1,1,1,1,1,1,1
P_008\Day_6\Hour_19\02-29-2020 19_44_20,yes,yes,no,1,0,1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_008\Day_6\Hour_20\02-29-2020 20_44_21,yes,yes,no,1,0,1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_008\Day_6\Hour_21\02-29-2020 21_44_21,yes,yes,yes,1,1,1,0,3,0,0,1,0,0,34,78,0,1,1,1,1,1,1,1
P_008\Day_6\Hour_22\02-29-2020 22_44_21,yes,yes,yes,1,1,1,0,7,0,0,4,0,0,23,71,0,1,1,1,1,1,1,1
P_008\Day_6\Hour_8\02-29-2020 08_44_16,yes,yes,yes,1,1,1,0,2,0,0,2,0,0,40,52,0,1,1,1,1,1,1,1
P_008\Day_6\Hour_9\02-29-2020 09_44_16,yes,yes,yes,1,1,1,0,13,0,0,12,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_10\10-18-2020 10_40_49,yes,yes,yes,1,1,1,0,11,0,0,9,0,0,76,73,1,1,1,1,1,1,1,1
P_009\Day_0\Hour_11\10-18-2020 11_44_00,yes,yes,no,1,0,1,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_009\Day_0\Hour_12\10-18-2020 12_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_009\Day_0\Hour_13\10-18-2020 13_44_00,yes,yes,yes,1,1,1,0,14,0,0,12,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_14\10-18-2020 14_44_00,yes,yes,yes,1,1,1,0,20,0,0,9,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_15\10-18-2020 15_44_00,yes,yes,yes,1,1,1,0,14,0,0,15,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_16\10-18-2020 16_44_01,yes,yes,yes,1,1,1,0,12,0,0,10,0,0,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_17\10-18-2020 17_44_01,yes,yes,yes,1,1,1,0,5,0,0,5,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_0\Hour_18\10-18-2020 18_44_01,yes,yes,yes,1,1,1,0,8,0,0,7,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_0\Hour_19\10-18-2020 19_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_20\10-18-2020 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_009\Day_0\Hour_9\10-18-2020 09_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,73,64,1,1,1,1,1,1,0,-1
P_009\Day_1\Hour_10\10-12-2020 10_44_00,yes,yes,yes,1,1,1,0,9,0,0,5,0,0,91,90,1,1,1,1,1,1,1,1
P_009\Day_1\Hour_19\10-12-2020 19_01_29,yes,yes,yes,1,1,1,0,18,0,0,13,0,0,32,86,0,1,1,1,1,1,1,1
P_009\Day_1\Hour_20\10-12-2020 20_44_00,yes,yes,no,1,0,1,0,5,0,0,-1,-1,-1,35,69,0,1,1,1,1,1,0,-1
P_009\Day_2\Hour_10\10-13-2020 10_40_57,yes,yes,yes,1,1,1,0,10,0,0,11,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_2\Hour_19\10-13-2020 19_44_00,yes,yes,yes,1,1,1,0,5,0,0,5,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_2\Hour_20\10-13-2020 20_44_01,yes,yes,yes,1,1,1,0,4,0,0,9,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_2\Hour_9\10-13-2020 09_44_00,yes,yes,yes,1,1,1,0,7,0,0,6,0,0,81,65,1,1,1,1,1,1,1,1
P_009\Day_3\Hour_10\10-14-2020 10_03_32,yes,yes,yes,1,1,1,0,7,0,0,7,0,0,76,70,1,1,1,1,1,1,1,1
P_009\Day_3\Hour_19\10-14-2020 19_44_00,yes,yes,yes,1,1,1,0,9,0,0,11,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_3\Hour_20\10-14-2020 20_44_00,yes,yes,yes,1,1,1,0,8,0,0,6,0,0,23,50,0,0,1,1,1,1,1,1
P_009\Day_3\Hour_9\10-14-2020 09_13_44,yes,no,yes,0,1,1,0,-1,-1,-1,4,0,0,68,50,1,0,1,1,1,1,0,-1
P_009\Day_4\Hour_10\10-15-2020 10_06_56,yes,yes,yes,1,1,1,15,8,5,0.625,7,2,0.285714286,80,62,1,1,1,1,1,1,1,1
P_009\Day_4\Hour_19\10-15-2020 19_01_33,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,26,71,0,1,1,1,1,1,0,-1
P_009\Day_4\Hour_20\10-15-2020 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,28,42,0,0,1,1,1,1,0,-1
P_009\Day_4\Hour_9\10-15-2020 09_01_02,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,64,50,1,0,1,1,1,1,0,-1
P_009\Day_5\Hour_19\10-16-2020 19_02_56,yes,yes,yes,1,1,1,43,8,1,0.125,20,20,1,44,73,0,1,1,1,1,1,1,1
P_009\Day_5\Hour_20\10-16-2020 20_44_01,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,41,68,0,1,1,1,1,1,1,0
P_009\Day_6\Hour_10\10-17-2020 10_11_48,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,68,67,1,1,1,1,1,1,0,-1
P_009\Day_6\Hour_11\10-17-2020 11_44_00,yes,yes,yes,1,1,1,0,5,0,0,5,0,0,65,64,1,1,1,1,1,1,1,1
P_009\Day_6\Hour_12\10-17-2020 12_06_45,yes,yes,yes,1,1,1,0,17,0,0,12,0,0,77,74,1,1,1,1,1,1,1,1
P_009\Day_6\Hour_13\10-17-2020 13_40_40,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,78,65,1,1,1,1,1,1,0,-1
P_009\Day_6\Hour_14\10-17-2020 14_39_44,yes,yes,yes,1,1,1,0,17,0,0,10,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_6\Hour_15\10-17-2020 15_44_00,yes,yes,yes,1,1,1,2,12,0,0,14,1,0.071428571,-1,-1,-1,-1,1,1,1,1,1,1
P_009\Day_6\Hour_17\10-17-2020 17_41_22,yes,yes,yes,1,1,1,2,8,0,0,8,1,0.125,38,50,0,0,1,1,1,1,1,1
P_009\Day_6\Hour_18\10-17-2020 18_38_48,yes,yes,yes,1,1,1,2,19,1,0.052631579,9,1,0.111111111,30,20,0,0,1,1,1,1,1,1
P_009\Day_6\Hour_19\10-17-2020 19_05_15,yes,yes,yes,1,1,1,2,7,1,0.142857143,6,1,0.166666667,50,62,0,1,1,1,1,1,1,1
P_009\Day_6\Hour_20\10-17-2020 20_44_00,yes,yes,yes,1,1,1,2,5,1,0.2,6,1,0.166666667,37,73,0,1,1,1,1,1,1,1
P_009\Day_6\Hour_9\10-17-2020 09_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_010\Day_0\Hour_11\02-16-2020 11_03_08,yes,yes,yes,1,1,1,38,10,6,0.6,15,11,0.733333333,100,100,1,1,1,1,1,1,0,-1
P_010\Day_0\Hour_12\02-16-2020 12_32_00,yes,yes,yes,1,1,1,22,14,11,0.785714286,16,10,0.625,100,100,1,1,1,1,1,1,1,1
P_010\Day_0\Hour_13\02-16-2020 13_01_53,yes,yes,yes,1,1,1,15,10,7,0.7,10,1,0.1,88,86,1,1,1,1,1,1,1,1
P_010\Day_0\Hour_14\02-16-2020 14_44_00,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,85,100,1,1,1,1,1,1,0,-1
P_010\Day_0\Hour_15\02-16-2020 15_11_14,yes,no,yes,0,1,1,0,-1,-1,-1,2,0,0,100,88,1,1,1,1,1,1,1,0
P_010\Day_0\Hour_16\02-16-2020 16_17_26,yes,yes,yes,1,1,1,37,13,12,0.923076923,17,11,0.647058824,100,85,1,1,1,1,1,1,0,-1
P_010\Day_0\Hour_17\02-16-2020 17_04_01,yes,yes,yes,1,1,1,63,13,9,0.692307692,17,16,0.941176471,100,100,1,1,1,1,1,1,1,1
P_010\Day_0\Hour_18\02-16-2020 18_44_00,yes,yes,yes,1,1,1,0,4,0,0,4,0,0,-1,-1,-1,-1,1,1,1,1,1,1
